ItemsID,Product Name,Seller name,SellerID,Color,Price,Subcategory,Category,Description
13,Bluetooth Active Headphones E202 Black,Northwind Traders,2,Black,38,Bluetooth Headphones,Audio-visual,Check out the new bluetooth headphones from Northwind Traders. With all the bells and whistles this bluetooth headphone has everything you need and more! Get it in red here.
14,Bluetooth Active Headphones E202 White,Northwind Traders,2,White,38,Bluetooth Headphones,Audio-visual,Check out the new bluetooth headphones from Northwind Traders. With all the bells and whistles this bluetooth headphone has everything you need and more! Get it in silver here.
15,"20"" LCD HDTV M120 Black",Adventure Works,3,Black,350,Televisions,Audio-visual,We love this television from Adventure Works. It comes in a timeless black all for the low price of $349.95.
16,"32"" LCD HDTV M130 Black",Adventure Works,3,Black,500,Televisions,Audio-visual,We love this television from Adventure Works. It comes in a timeless black all for the low price of $499.99.
17,"15.6"" LCD TV M130W Black",Adventure Works,3,Black,300,Televisions,Audio-visual,We love this television from Adventure Works. It comes in a timeless black all for the low price of $299.99.
18,"52"" LCD HDTV X590 Black",Adventure Works,3,Black,2900,Televisions,Audio-visual,This great television is perfect for any audio-visual lover. We love its sleak design and impressive performance. It is made by Adventure Works and is a gorgeous black colour.
19,"40"" LCD HDTV M690 Black",Adventure Works,3,Black,1185,Televisions,Audio-visual,This great television is perfect for any audio-visual lover. We love its sleak design and impressive performance. It is made by Adventure Works and is a gorgeous black colour.
20,"26"" 720p LCD HDTV M140 Black",Adventure Works,3,Black,470,Televisions,Audio-visual,We love this television from Adventure Works. It comes in a timeless black all for the low price of $469.97.
21,"37"" 1080p LCD HDTV M150W Black",Adventure Works,3,Black,1100,Televisions,Audio-visual,Check out the new television from Adventure Works. With all the bells and whistles this television has everything you need and more! Get it in black here.
22,"52"" LCD HDTV X790W Black",Adventure Works,3,Black,1593,Televisions,Audio-visual,Check out the new television from Adventure Works. With all the bells and whistles this television has everything you need and more! Get it in black here.
23,Laptop M9800,Fabrikam,4,Silver,1199,Laptops,Computers,Check out the new laptop from Fabrikam. With all the bells and whistles this laptop has everything you need and more! Get it in black here.
24,Laptop M7080,Fabrikam,4,Silver,880,Laptops,Computers,Check out the new laptop from Fabrikam. With all the bells and whistles this laptop has everything you need and more! Get it in black here.
25,Laptop M7000,Fabrikam,4,Silver,819,Laptops,Computers,Check out the new laptop from Fabrikam. With all the bells and whistles this laptop has everything you need and more! Get it in black here.
26,Laptop M6080,Fabrikam,4,Silver,967,Laptops,Computers,Check out the new laptop from Fabrikam. With all the bells and whistles this laptop has everything you need and more! Get it in black here.
27,Desktop M6000,Fabrikam,4,Black,599,Desktops,Computers,Check out the new desktop from Fabrikam. With all the bells and whistles this desktop has everything you need and more! Get it in black here.
28,Desktop M9000,Fabrikam,4,Black,1099,Desktops,Computers,Check out the new desktop from Fabrikam. With all the bells and whistles this desktop has everything you need and more! Get it in black here.
29,Laptop X1900,Adventure Works,3,Silver,1299,Laptops,Computers,Check out the new laptop from Adventure Works. With all the bells and whistles this laptop has everything you need and more! Get it in black here.
30,Laptop M1500,Adventure Works,3,Silver,699,Laptops,Computers,Check out the new laptop from Adventure Works. With all the bells and whistles this laptop has everything you need and more! Get it in black here.
31,Laptop M1200,Adventure Works,3,Silver,383,Laptops,Computers,Check out the new laptop from Adventure Works. With all the bells and whistles this laptop has everything you need and more! Get it in black here.
32,Desktop M1600 ,Adventure Works,3,Black,599,Desktops,Computers,Check out the new desktop from Adventure Works. With all the bells and whistles this desktop has everything you need and more! Get it in black here.
33,Desktop M1548 ,Adventure Works,3,Black,758,Desktops,Computers,Check out the new desktop from Adventure Works. With all the bells and whistles this desktop has everything you need and more! Get it in black here.
34,Compact Digital Camera D200,A. Datum,5,Black,129,Digital Cameras,Cameras and camcorders,This great digital camera is perfect for any cameras and camcorders lover. We love its sleak design and impressive performance. It is made by A. Datum and is a gorgeous grey colour.
35,Rangefinder Digital Camera D400,A. Datum,5,Black,200,Digital Cameras,Cameras and camcorders,This great digital camera is perfect for any cameras and camcorders lover. We love its sleak design and impressive performance. It is made by A. Datum and is a gorgeous grey colour.
36,Film Camera F180,A. Datum,5,Silver,148,Analog Cameras,Cameras and camcorders,This great analog camera is perfect for any cameras and camcorders lover. We love its sleak design and impressive performance. It is made by A. Datum and is a gorgeous grey colour.
37,Ultra Film Camera F190,A. Datum,5,Black,165,Analog Cameras,Cameras and camcorders,We love this analog camera from A. Datum. It comes in a timeless grey all for the low price of $165.
38,Video Camera V200,A. Datum,5,Black,188,Video Cameras,Cameras and camcorders,We love this video camera from A. Datum. It comes in a timeless grey all for the low price of $188..
39,Video Camera V400,A. Datum,5,Black,240,Video Cameras,Cameras and camcorders,We love this video camera from A. Datum. It comes in a timeless grey all for the low price of $240..
40,Microwave X1100 White,Fabrikam,4,White,666,Microwaves,Home Appliances,Check out the new microwave from Fabrikam. With all the bells and whistles this microwave has everything you need and more! Get it in white here.
41,Microwave M1250 White,Fabrikam,4,White,200,Microwaves,Home Appliances,Check out the new microwave from Fabrikam. With all the bells and whistles this microwave has everything you need and more! Get it in white here.
42,Refridgerator E1100 White,Fabrikam,4,White,140,Refridgerators,Home Appliances,Check out the new refridgerator from Fabrikam. With all the bells and whistles this refridgerator has everything you need and more! Get it in white here.
43,Refridgerator E0900 White,Fabrikam,4,White,100,Refridgerators,Home Appliances,Check out the new refridgerator from Fabrikam. With all the bells and whistles this refridgerator has everything you need and more! Get it in white here.
44,Microwave X1100 Silver,Fabrikam,4,Silver,666,Microwaves,Home Appliances,This great microwave is perfect for any home appliances lover. We love its sleak design and impressive performance. It is made by Fabrikam and is a gorgeous silver colour.
45,Microwave M1250 Silver,Fabrikam,4,Silver,200,Microwaves,Home Appliances,This great microwave is perfect for any home appliances lover. We love its sleak design and impressive performance. It is made by Fabrikam and is a gorgeous silver colour.
46,Refridgerator E1100 Silver,Fabrikam,4,Silver,140,Refridgerators,Home Appliances,This great refridgerator is perfect for any home appliances lover. We love its sleak design and impressive performance. It is made by Fabrikam and is a gorgeous silver colour.
47,Refridgerator E0900 Silver,Fabrikam,4,Silver,100,Refridgerators,Home Appliances,This great refridgerator is perfect for any home appliances lover. We love its sleak design and impressive performance. It is made by Fabrikam and is a gorgeous silver colour.
48,Coffee Maker Super-Auto Black,Reverto,0,Black,1650,Coffee Machines,Home Appliances,This great coffee machine is perfect for any home appliances lover. We love its sleak design and impressive performance. It is made by Reverto and is a gorgeous black colour.
49,Coffee Maker Super-Auto Silver,Reverto,0,Silver,1650,Coffee Machines,Home Appliances,This great coffee machine is perfect for any home appliances lover. We love its sleak design and impressive performance. It is made by Reverto and is a gorgeous silver colour.
